station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
-9.0, 98.0, None, None, -15.0, -6.0, 1987-02-24 18:00:00, None, None, None
-6.0, 80.0, None, None, -20.0, -6.0, 1987-02-25 06:00:00, None, None, None
-10.0, 100.0, None, None, -10.0, -4.5, 1987-02-25 18:00:00, None, None, None
-11.0, 65.0, None, None, -16.0, -10.0, 1987-02-26 06:00:00, None, None, None
-4.0, 90.0, None, None, -11.0, -2.0, 1987-02-26 18:00:00, None, None, None
-9.0, 95.0, None, None, -9.0, -4.0, 1987-02-27 06:00:00, None, None, None
-9.0, 97.0, None, None, -9.5, -5.5, 1987-02-27 18:00:00, None, None, None
-13.0, 62.0, None, None, -13.0, -9.0, 1987-02-28 06:00:00, None, None, None
-8.0, 100.0, None, None, -13.0, -4.0, 1987-02-28 18:00:00, None, None, None
-9.5, 100.0, None, None, -10.5, -8.0, 1987-03-01 06:00:00, None, None, None
-5.5, 92.0, None, 20.0, -20.5, -4.5, 1987-03-01 13:40:00, None, None, 90.0
None, 99.0, None, None, None, None, 1987-03-01 18:00:00, None, None, None
-6.5, 98.0, None, None, None, None, 1987-03-02 06:00:00, None, None, None
0.5, 100.0, None, None, -6.5, 1.0, 1987-03-02 18:00:00, None, None, None
0.0, 100.0, None, None, -1.0, 0.5, 1987-03-03 06:00:00, None, None, None
2.0, 100.0, None, None, 0.0, 3.0, 1987-03-03 18:00:00, None, None, None
2.0, 95.0, None, None, 0.5, 2.0, 1987-03-04 06:00:00, None, None, None
4.5, 90.0, None, None, 2.0, 6.0, 1987-03-04 18:00:00, None, None, None
1.0, 75.0, None, None, 1.0, 4.5, 1987-03-05 06:00:00, None, None, None
3.0, 100.0, None, None, 1.0, 6.0, 1987-03-05 18:00:00, None, None, None
-3.0, 83.0, None, None, -3.0, 3.0, 1987-03-06 06:00:00, None, None, None
0.0, 98.0, None, None, -3.5, 2.0, 1987-03-06 18:00:00, None, None, None
-7.0, 60.0, None, None, -7.0, 0.0, 1987-03-07 06:00:00, None, None, None
3.0, 98.0, None, None, -9.0, 3.0, 1987-03-07 18:00:00, None, None, None
-7.0, 60.0, None, None, -7.0, 3.0, 1987-03-08 06:00:00, None, None, None
2.0, 96.0, None, None, -8.0, 3.0, 1987-03-08 18:00:00, None, None, None
-3.0, 90.0, None, None, -6.0, 2.0, 1987-03-09 06:00:00, None, None, None
2.0, 100.0, None, None, -3.0, 2.0, 1987-03-09 18:00:00, None, None, None
-2.0, 95.0, None, None, -2.0, 2.0, 1987-03-10 06:00:00, None, None, None
1.0, 98.0, None, None, -3.0, 1.0, 1987-03-10 18:00:00, None, None, None
-2.0, 82.0, None, None, -2.0, 1.0, 1987-03-11 06:00:00, None, None, None
2.0, 99.0, None, None, -4.0, 4.0, 1987-03-11 18:00:00, None, None, None
0.0, 89.0, None, None, -1.0, 2.0, 1987-03-12 06:00:00, None, None, None
2.5, 100.0, None, None, -1.5, 3.0, 1987-03-12 18:00:00, None, None, None
0.0, 93.0, None, None, 0.0, 2.5, 1987-03-13 06:00:00, None, None, None
1.0, 96.0, None, None, 0.0, 2.0, 1987-03-13 18:00:00, None, None, None
-3.0, 64.0, None, None, -3.0, 1.0, 1987-03-14 06:00:00, None, None, None
2.0, 100.0, None, None, -7.0, 3.0, 1987-03-14 18:00:00, None, None, None
-8.0, 92.0, None, None, -8.0, 2.0, 1987-03-15 06:00:00, None, None, None
2.0, 100.0, None, None, -8.5, 2.0, 1987-03-15 18:00:00, None, None, None
-5.0, 76.0, None, None, -5.0, 2.0, 1987-03-16 06:00:00, None, None, None
0.0, 100.0, None, None, -5.0, 1.0, 1987-03-16 18:00:00, None, None, None
-3.0, 98.0, None, None, -3.0, 0.0, 1987-03-17 06:00:00, None, None, None
-1.0, 95.0, None, None, -3.0, -1.0, 1987-03-17 18:00:00, None, None, None
-10.0, 88.0, None, None, -10.0, -1.0, 1987-03-18 06:00:00, None, None, None
-1.0, 100.0, None, None, -10.0, -1.0, 1987-03-18 18:00:00, None, None, None
