station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, INTERVAL_SNOW, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, HEIGHT_OF_SNOW
-8.0, None, None, 4.0, None, None, None, 1977-12-06 16:00:00, None, None, None, 53.0
-8.0, None, None, 30.0, None, None, None, 1977-12-07 08:00:00, None, None, None, 75.0
-16.0, None, None, 3.0, None, None, None, 1977-12-07 16:00:00, None, None, None, 75.0
-20.0, None, None, None, None, None, None, 1977-12-08 08:00:00, None, None, None, 75.0
-18.0, None, None, None, None, None, None, 1977-12-08 16:00:00, None, None, None, 75.0
-20.0, None, None, None, None, None, None, 1977-12-09 08:00:00, None, None, None, 58.0
-16.0, None, None, None, None, None, None, 1977-12-09 16:00:00, None, None, None, 58.0
-15.0, None, None, 18.0, None, None, None, 1977-12-10 08:00:00, None, None, None, 70.0
-13.0, None, None, 14.0, None, None, None, 1977-12-10 15:00:00, None, None, None, 77.0
-11.0, None, None, 16.0, None, None, None, 1977-12-11 08:00:00, None, None, None, 83.0
-6.0, None, None, 15.0, None, None, None, 1977-12-11 23:00:00, None, None, None, 90.0
-3.0, None, None, 6.0, None, None, None, 1977-12-12 08:00:00, None, None, None, 91.0
2.0, None, None, None, None, None, None, 1977-12-12 16:00:00, None, None, None, 90.0
0.0, None, None, 3.0, None, None, None, 1977-12-13 08:00:00, None, None, None, 83.0
1.0, None, None, None, None, None, None, 1977-12-13 16:00:00, None, None, None, 82.0
0.0, None, None, 5.0, None, None, None, 1977-12-14 08:00:00, None, None, None, 80.0
2.0, None, None, None, None, None, None, 1977-12-14 16:00:00, None, None, None, 75.0
1.0, None, None, None, None, None, None, 1977-12-15 08:00:00, None, None, None, 70.0
3.0, None, None, None, None, None, None, 1977-12-15 16:00:00, None, None, None, 68.0
2.0, None, None, None, None, None, None, 1977-12-16 08:00:00, None, None, None, 65.0
2.0, None, None, None, None, None, None, 1977-12-16 16:00:00, None, None, None, 63.0
-1.0, None, None, None, None, None, None, 1977-12-17 08:00:00, None, None, None, 60.0
0.0, None, None, None, None, None, None, 1977-12-17 15:00:00, None, None, None, 60.0
-2.0, None, None, 1.0, None, None, None, 1977-12-18 08:00:00, None, None, None, 60.0
-1.0, None, None, None, None, None, None, 1977-12-18 15:00:00, None, None, None, 60.0
-4.0, None, None, None, None, None, None, 1977-12-19 08:00:00, None, None, None, 60.0
